Sponsorship Level,Amount,Benefits
Silver Level,"$1,000",Acknowledgements + 1 free in-person registration
Gold Level,"$2,000",Acknowledgements + 2 free in-person registrations
Platinum Level,"$4,000",Acknowledgements + 4 free in-person registrations
